case_id,architecture,source,ferrite,diamond_um,ferrite_um,ferrite_layers,interface_or_transport_channel,loss_fraction
0,baseline,Ni63,,2.0,0.0,1,diamond_collector,0.34989629746366735
1,diamond_ferrite,Ni63,Fe3O4,2.0,0.05,1,diamond_collector,0.0
1,diamond_ferrite,Ni63,Fe3O4,2.0,0.05,1,diamond_ferrite,0.3500658748384264
1,diamond_ferrite,Ni63,Fe3O4,2.0,0.05,1,ferrite_bulk_transport,0.07125358211910715
2,diamond_ferrite,Ni63,Fe3O4,2.0,0.3,1,diamond_collector,0.0
2,diamond_ferrite,Ni63,Fe3O4,2.0,0.3,1,diamond_ferrite,0.3501225040137271
2,diamond_ferrite,Ni63,Fe3O4,2.0,0.3,1,ferrite_bulk_transport,0.07127149271464285
3,diamond_ferrite,Ni63,Fe3O4,2.0,1.5,1,diamond_collector,0.0
3,diamond_ferrite,Ni63,Fe3O4,2.0,1.5,1,diamond_ferrite,0.35016138477711284
3,diamond_ferrite,Ni63,Fe3O4,2.0,1.5,1,ferrite_bulk_transport,0.07135746357321422
4,diamond_ferrite,Ni63,NiFe2O4,2.0,0.05,1,diamond_collector,0.0
4,diamond_ferrite,Ni63,NiFe2O4,2.0,0.05,1,diamond_ferrite,0.3500629638069672
4,diamond_ferrite,Ni63,NiFe2O4,2.0,0.05,1,ferrite_bulk_transport,0.03700179962451414
5,diamond_ferrite,Ni63,NiFe2O4,2.0,0.3,1,diamond_collector,0.0
5,diamond_ferrite,Ni63,NiFe2O4,2.0,0.3,1,diamond_ferrite,0.3501072191738415
5,diamond_ferrite,Ni63,NiFe2O4,2.0,0.3,1,ferrite_bulk_transport,0.05772508346137055
6,diamond_ferrite,Ni63,NiFe2O4,2.0,1.5,1,diamond_collector,0.0
6,diamond_ferrite,Ni63,NiFe2O4,2.0,1.5,1,diamond_ferrite,0.35013651777388444
6,diamond_ferrite,Ni63,NiFe2O4,2.0,1.5,1,ferrite_bulk_transport,0.15719684587828134
7,diamond_ferrite,Ni63,CoFe2O4,2.0,0.05,1,diamond_collector,0.0
7,diamond_ferrite,Ni63,CoFe2O4,2.0,0.05,1,diamond_ferrite,0.3500697553490708
7,diamond_ferrite,Ni63,CoFe2O4,2.0,0.05,1,ferrite_bulk_transport,0.05913584780367833
8,diamond_ferrite,Ni63,CoFe2O4,2.0,0.3,1,diamond_collector,0.0
8,diamond_ferrite,Ni63,CoFe2O4,2.0,0.3,1,diamond_ferrite,0.3501396493054222
8,diamond_ferrite,Ni63,CoFe2O4,2.0,0.3,1,ferrite_bulk_transport,0.08814842015540328
9,diamond_ferrite,Ni63,CoFe2O4,2.0,1.5,1,diamond_collector,0.0
9,diamond_ferrite,Ni63,CoFe2O4,2.0,1.5,1,diamond_ferrite,0.35018951264624704
9,diamond_ferrite,Ni63,CoFe2O4,2.0,1.5,1,ferrite_bulk_transport,0.22740876744368313
10,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.05,1,diamond_collector,0.0
10,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.05,1,diamond_ferrite,0.3500658748384264
10,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.05,1,ferrite_bulk_transport,0.07125358211910715
10,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.05,1,ferrite_graphene,0.33560214157128654
10,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.05,1,graphene_sheet,0.00085
11,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.3,1,diamond_collector,0.0
11,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.3,1,diamond_ferrite,0.3501225040137271
11,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.3,1,ferrite_bulk_transport,0.07127149271464285
11,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.3,1,ferrite_graphene,0.334597031111596
11,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,0.3,1,graphene_sheet,0.00085
12,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,1.5,1,diamond_collector,0.0
12,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,1.5,1,diamond_ferrite,0.35016138477711284
12,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,1.5,1,ferrite_bulk_transport,0.07135746357321422
12,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,1.5,1,ferrite_graphene,0.33426512231153216
12,diamond_ferrite_graphene,Ni63,Fe3O4,2.0,1.5,1,graphene_sheet,0.00085
13,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.05,1,diamond_collector,0.0
13,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.05,1,diamond_ferrite,0.3500629638069672
13,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.05,1,ferrite_bulk_transport,0.03700179962451414
13,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.05,1,ferrite_graphene,0.33552830721794613
13,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.05,1,graphene_sheet,0.00085
14,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.3,1,diamond_collector,0.0
14,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.3,1,diamond_ferrite,0.3501072191738415
14,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.3,1,ferrite_bulk_transport,0.05772508346137055
14,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.3,1,ferrite_graphene,0.3345393583112919
14,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,0.3,1,graphene_sheet,0.00085
15,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,1.5,1,diamond_collector,0.0
15,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,1.5,1,diamond_ferrite,0.35013651777388444
15,diamond_ferrite_graphene,Ni63,NiFe2O4,2.0,1.5,1,ferrite_bulk_transport,0.15719684587828134
