architecture,source,ferrite,diamond_um,ferrite_um,graphene_nm,ferrite_layers,trap_density_cm3,interface_recombination_cm_s,annealing_rate_s,defect_healing_rate_s,temperature_K,electric_field_V_cm,cce,current_density_A_cm2,voltage_V,power_density_W_cm2,carrier_lifetime_s,recombination_fraction,trap_accumulation_rate_cm3_s,estimated_lifetime_years,peak_temperature_K,thermal_rise_K,interface_loss_fraction,dominant_interface_loss,dominant_interface_loss_value,vacancies_cm3,interstitials_cm3,effective_traps_cm3,ferrite_benefit_factor,radiation_tolerance_factor,defect_sink_factor
baseline,Ni63,,8.0,0.3,0.34,1,127605548025818.94,4828.79144836843,2.9106393893176138e-08,1.600446028477431e-07,300.0,30700.04769775319,0.11382093185482667,2.384723874711125e-09,0.2384723874711125,5.686907958617241e-10,2.5990237998783177e-10,0.1928954185936016,72564420882.39346,0.16758372199973198,300.0000000000032,3.1831201321498305e-12,0.35070863837340804,diamond_collector,0.35070863837340804,2.2250670013352035e+17,1.611255414759975e+17,3.837598471575437e+17,0.1514079495073619,1.7967523370731053,1.0
baseline,Ni63,,8.0,0.3,0.34,1,110768507826613.83,8014.202485400639,1.9832692150245534e-08,6.527755279955813e-08,300.0,62294.46011605808,0.11244800821178765,2.355959009265405e-09,0.2355959009265405,5.550542853338829e-10,4.597716641317703e-11,0.20554758265839737,185019621246.76144,0.3723371078909823,300.0000000000032,3.1831201321498305e-12,0.3501003741503639,diamond_collector,0.3501003741503638,1.2608515036724362e+18,9.130303992110746e+17,2.1739926713913377e+18,0.05869213043694584,0.7046836002053434,1.0
baseline,Ni63,,8.0,0.3,0.34,1,105424467015185.44,22013.456773178656,2.5266690435026064e-08,6.50739265099091e-08,300.0,54828.53123543187,0.1136741863674117,2.381649330673909e-09,0.2381649330673909,5.672253534299479e-10,1.0655065173542769e-10,0.19344582441117375,84686680894.39204,0.35080180566186764,300.0000000000032,3.1831201321498305e-12,0.35145501767985,diamond_collector,0.35145501767985,5.437009019837199e+17,3.93714446264073e+17,9.37520772714808e+17,0.12949622234079824,1.5395607837245007,1.0
baseline,Ni63,,8.0,0.3,0.34,1,201931882873396.22,9656.554960832545,1.823423902411909e-08,7.114395885663859e-08,300.0,67874.35938808646,0.11382639826974487,2.3848384045252116e-09,0.23848384045252116,5.687454215698357e-10,7.34237044155969e-11,0.19321784387856727,121621923153.54494,0.3545919584108864,300.0000000000032,3.1831201321498305e-12,0.3503341870705573,diamond_collector,0.3503341870705573,7.892385067231607e+17,5.7151753935125434e+17,1.3609579779572884e+18,0.09036532534859502,1.0720130830705146,1.0
baseline,Ni63,,8.0,0.3,0.34,1,70987792685903.08,7815.364529633128,2.6098735537883235e-08,1.2004806667068703e-07,300.0,55434.722554219574,0.11383610630574723,2.3850418028356463e-09,0.23850418028356463,5.68842440127351e-10,9.224687392371404e-11,0.1931245123992427,158273565121.4269,0.2168378948467111,300.0000000000032,3.1831201321498305e-12,0.35034236943857255,diamond_collector,0.3503423694385725,6.281264207164732e+17,4.5485016672572205e+17,1.0830475752348813e+18,0.06944479576037538,0.8237654387122045,1.0
baseline,Ni63,,8.0,0.3,0.34,1,554733748765649.44,7523.97494576901,1.548096042225321e-08,6.65719835660163e-08,300.0,58324.244297466765,0.10995520428966736,2.303730926687098e-09,0.23037309266870978,5.307176182574595e-10,3.784327567660033e-11,0.2274818423298849,216695478057.0365,0.38627186852158324,300.0000000000032,3.1831201321498305e-12,0.3500428509341489,diamond_collector,0.3500428509341489,1.531735135430792e+18,1.1091875118636769e+18,2.641477381043235e+18,0.0490038655618428,0.6016751894309463,1.0
baseline,Ni63,,8.0,0.3,0.34,1,91287349642122.39,5553.762128582926,1.324329869610211e-08,1.3844409250378307e-07,300.0,60209.885405586116,0.11388303409840424,2.3860250123886956e-09,0.23860250123886956,5.693115359744475e-10,9.102399882512802e-11,0.1928586812450864,166479958039.8057,0.20892127718920162,300.0000000000032,3.1831201321498305e-12,0.35019449682426107,diamond_collector,0.35019449682426107,6.365616476048959e+17,4.6095843447251085e+17,1.097611369427049e+18,0.06605606363516162,0.7831590922050973,1.0
baseline,Ni63,,8.0,0.3,0.34,1,58718945154638.15,11764.635254905283,2.120156878270489e-08,1.1155463650188487e-07,300.0,62170.474460492966,0.11382230904919664,2.384752729054879e-09,0.23847527290548792,5.687045578734695e-10,9.198603157714507e-11,0.19300059460470254,144181584154.26157,0.2387067406037466,300.0000000000032,3.1831201321498305e-12,0.35059016255900777,diamond_collector,0.35059016255900777,6.299164594996063e+17,4.5614640170661146e+17,1.0861215801513725e+18,0.07620894837144138,0.9042784040248961,1.0
baseline,Ni63,,8.0,0.3,0.34,1,172138784218080.78,10484.421005792785,2.311061354658372e-08,1.3711421969905602e-07,300.0,34734.52157449869,0.11372867275100804,2.382790904351891e-09,0.2382790904351891,5.677692493862103e-10,1.4166751105357784e-10,0.19354989086528138,112911402435.74326,0.19782094717985957,300.0000000000032,3.1831201321498305e-12,0.35086642006339264,diamond_collector,0.3508664200633927,4.0872948397662483e+17,2.959765228796249e+17,7.048781456404678e+17,0.09721464959278821,1.1547132530126443,1.0
baseline,Ni63,,8.0,0.3,0.34,1,68639767130556.55,6394.067448014986,1.7429447275727912e-08,2.1116521606480976e-07,300.0,40268.32688235999,0.11377239129785469,2.383706875261054e-09,0.2383706875261054,5.682058467166819e-10,1.1326482910497055e-10,0.19368175314589933,201578880013.34076,0.1386320831719892,300.0000000000032,3.1831201321498305e-12,0.3503446203776277,diamond_collector,0.35034462037762776,5.1145441761065146e+17,3.703635437870235e+17,8.818866011648055e+17,0.054495318082752264,0.6467954023763212,1.0
