geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
baseline,Ni63,8.0,4.0,50.0,1,0.75,4.0,0.0,0.0,0.18,0.0781981981981982,0.6275787215995183,0.0830749477450544,1.740548140395578e-09,0.1740548140395578,3.0295078290345046e-10,1.0,0.0007534349717065664,0.98,0.0,carrier_travel_recombination,0.37242127840048167
baseline,Ni63,12.0,4.0,50.0,1,0.75,6.0,0.0,0.0,0.18,0.0781981981981982,0.4823657658240841,0.09144982009942101,1.9160146185350232e-09,0.19160146185350233,3.6711120184399104e-10,1.0,0.0007891008707819566,0.98,0.0,carrier_travel_recombination,0.5176342341759159
baseline,Ni63,20.0,4.0,50.0,1,0.75,10.0,0.0,0.0,0.18,0.0781981981981982,0.3263818277821591,0.09423463553653416,1.9743607922249217e-09,0.19743607922249218,3.8981005378750207e-10,1.0,0.0008635809727396927,0.98,0.0,carrier_travel_recombination,0.6736181722178409
straight_fingers,Ni63,8.0,0.75,15.0,1,0.35,1.3263433333333332,7.4866666666666655,31841041666666.66,0.2198125695198064,0.07877542343484402,0.948558253846332,0.11745073578645981,2.460773859149192e-09,0.2460773859149192,6.055407985872007e-10,1.9988091556778873,0.0007639238570523526,0.600847619047619,1.1697333333333333,graphene_diamond_interface,0.2198125695198064
straight_fingers,Ni63,8.0,0.75,15.0,1,0.65,0.9229033333333334,13.886666666666667,55641041666666.67,0.2445356560400847,0.0792047259647805,0.9857672628417312,0.10733537868038423,2.248841544073313e-09,0.22488415440733128,5.057288290350042e-10,1.6693431988792005,0.000769729192494336,0.5368476190476189,1.2977333333333334,graphene_diamond_interface,0.2445356560400847
straight_fingers,Ni63,8.0,0.75,15.0,1,0.9,0.46936999999999995,19.22,75474375000000.0,0.26050694674137526,0.07956108127177376,0.9997614829229944,0.09688823093208837,2.029957703886766e-09,0.2029957703886766,4.120728279569232e-10,1.3601972703541407,0.0007745669720293223,0.48351428571428556,1.4043999999999999,graphene_diamond_interface,0.26050694674137526
straight_fingers,Ni63,8.0,0.75,15.0,2,0.35,1.4563090963881407,11.74783922584068,49344131370587.414,0.2364505659957897,0.07909132110315112,0.9325782301378913,0.10611344404207264,2.2232401308900615e-09,0.22232401308900615,4.942796679600058e-10,1.6315510500513586,0.0007693446073166947,0.48823589345587887,1.3432410557642755,graphene_diamond_interface,0.2364505659957897
straight_fingers,Ni63,8.0,0.75,15.0,2,0.65,1.0691245400600031,21.790515678919093,86690334430472.75,0.2664849086278308,0.07976204462317936,0.9741904582138579,0.08900666264297964,1.8648267058979577e-09,0.18648267058979576,3.477578643030228e-10,1.1479021805791214,0.0007784678084434553,0.40571428571428564,1.5440945848258436,graphene_diamond_interface,0.2664849086278308
straight_fingers,Ni63,8.0,0.75,15.0,2,0.9,0.5623550081467843,30.159412723151096,117812170313710.52,0.28428642262772,0.08031756941626904,0.9990189138667144,0.0748785748439242,1.5688215007974185e-09,0.15688215007974185,2.4612009013642645e-10,0.8124094870382434,0.0007860704760490891,0.40571428571428564,1.7114725257104837,geometric_occlusion,0.3346539325470634
straight_fingers,Ni63,8.0,0.75,15.0,4,0.35,1.6602472383157785,18.434335682484544,76552685819239.4,0.2568743297358976,0.07958041956513998,0.905372478666075,0.08870996373340959,1.8586104066485814e-09,0.18586104066485815,3.4544326437024053e-10,1.1402619958910365,0.0007776396126188027,0.28137092888944015,1.648686713649691,graphene_diamond_interface,0.2568743297358976
straight_fingers,Ni63,8.0,0.75,15.0,4,0.65,1.2985702072060403,34.19298417329948,135155159894457.42,0.29044302974144676,0.08062580639776029,0.9498919321809127,0.06374412854439972,1.3355376971115414e-09,0.13355376971115412,1.783660940405999e-10,0.5887626113098531,0.0007919858582963249,0.26571428571428557,1.9638596834659896,geometric_occlusion,0.39609476259949217
straight_fingers,Ni63,8.0,0.75,15.0,4,0.9,0.7082641256163178,47.32519124897858,183990554957139.06,0.3085945502481776,0.08148866758702206,0.9957345508061605,0.04383185168881804,9.183448201640161e-10,0.09183448201640161,8.43357208722079e-11,0.27838093060510577,0.0008039410630275934,0.26571428571428557,2.2265038249795714,geometric_occlusion,0.5930778687346786
straight_fingers,Ni63,8.0,0.75,30.0,1,0.35,1.3269533333333332,7.506666666666666,35915416666666.67,0.21843151467940397,0.07884904687337298,0.9484127082262238,0.11846803956907281,2.4820879406515768e-09,0.24820879406515767,6.160760545127985e-10,2.0335846258867076,0.0007676913594754606,0.6863619047619047,1.1901333333333333,graphene_diamond_interface,0.21843151467940397
straight_fingers,Ni63,8.0,0.75,30.0,1,0.65,0.9232733333333334,13.906666666666666,59715416666666.67,0.24311983714274515,0.07927803565182014,0.9857132723249638,0.10823594359306397,2.2677097664028726e-09,0.22677097664028725,5.142507584638971e-10,1.6974729477024897,0.000773517745690602,0.6223619047619047,1.3181333333333334,graphene_diamond_interface,0.24311983714274515
straight_fingers,Ni63,8.0,0.75,30.0,1,0.9,0.46953999999999996,19.24,79548749999999.98,0.25907342259725463,0.07963413102876805,0.9997597870180366,0.09769409947174916,2.0468418913124923e-09,0.20468418913124922,4.1895617280317005e-10,1.382918270710296,0.0007783730675365531,0.5690285714285713,1.4248,graphene_diamond_interface,0.25907342259725463
straight_fingers,Ni63,8.0,0.75,30.0,2,0.35,1.457266288987575,11.77922258975655,55117692504641.945,0.2344731335667662,0.07919530553181856,0.9323320711448553,0.10715795395523,2.2451242227410735e-09,0.22451242227410734,5.040582775538709e-10,1.6638289319572837,0.0007747194255429333,0.5736363455310057,1.372152994290055,graphene_diamond_interface,0.2344731335667662
straight_fingers,Ni63,8.0,0.75,30.0,2,0.65,1.0697051322924467,21.82189904283496,92463895564527.28,0.2644563896757447,0.07986533609568383,0.9740739896966448,0.08986482949020459,1.8828066234378452e-09,0.18828066234378452,3.54496078126142e-10,1.1701441228462475,0.00078388955223884,0.49142857142857127,1.573006523351623,graphene_diamond_interface,0.2644563896757447
straight_fingers,Ni63,8.0,0.75,30.0,2,0.9,0.5626217667400691,30.190796087066968,123585731447765.06,0.28223669692648906,0.0804202887029531,0.999011015827358,0.07556694729066789,1.5832439640622313e-09,0.15832439640622314,2.5066614497394884e-10,0.8274154058015273,0.0007915313244854289,0.49142857142857127,1.7403844642362634,geometric_occlusion,0.3373874247055984
straight_fingers,Ni63,8.0,0.75,30.0,4,0.35,1.6617492345000595,18.483581459018342,84735818550724.45,0.2540372593982442,0.07972705333953516,0.9049518266668352,0.08973792954424246,1.880147874068077e-09,0.1880147874068077,3.534956028362709e-10,1.1668416877764893,0.000785338337002073,0.36659275683838793,1.6896716291803668,graphene_diamond_interface,0.2540372593982442
straight_fingers,Ni63,8.0,0.75,30.0,4,0.65,1.2994812540719156,34.24222994983327,143338292625942.47,0.2875430711912744,0.08077091503427175,0.9496415389883575,0.0643961033499239,1.3491975737186556e-09,0.13491975737186557,1.8203340929283071e-10,0.6008679282761393,0.0007997893847989928,0.35142857142857137,2.0048445989966655,geometric_occlusion,0.4000334492474991
straight_fingers,Ni63,8.0,0.75,30.0,4,0.9,0.7086827147168551,47.37443702551238,192173687688624.2,0.305675018241079,0.08163252337836634,0.9956984630177759,0.044155499660198216,9.251257437759974e-10,0.09251257437759974,8.558576417970925e-11,0.28250715630923184,0.0008118319246297591,0.35142857142857137,2.2674887405102475,geometric_occlusion,0.5970165553826856
straight_fingers,Ni63,8.0,0.75,60.0,1,0.35,1.3281733333333332,7.546666666666666,44064166666666.67,0.21566897261364154,0.07899613224588846,0.9481211195808212,0.11964655507248055,2.50677965606714e-09,0.250677965606714,6.283944244072089e-10,2.074245916728581,0.0007753089313390661,0.7145333333333332,1.2309333333333334,graphene_diamond_interface,0.21566897261364154
