geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
baseline,Ni63,20.0,4.0,50.0,1,0.75,10.0,0.0,0.0,0.18,0.0781981981981982,0.3263818277821591,0.09423463553653416,1.9743607922249217e-09,0.19743607922249218,3.8981005378750207e-10,1.0,0.0008635809727396927,0.98,0.0,carrier_travel_recombination,0.6736181722178409
straight_fingers,Ni63,20.0,2.0,25.0,1,0.75,1.8874625,15.0125,24831093750000.004,0.21347319753990301,0.07864862835909069,0.875932971527732,0.21331230725343225,4.469221465571787e-09,0.4469221465571787,1.997394050832763e-09,5.124018817435649,0.0008724613204186396,0.6127321428571428,1.3127499999999999,graphene_diamond_interface,0.21347319753990301
straight_fingers,Ni63,20.0,2.0,25.0,2,0.75,2.203614088955948,23.55713753934994,38576775995715.77,0.22825459147977062,0.07889710821697338,0.8321275635553451,0.1693362992337266,3.5478563481886542e-09,0.35478563481886544,1.2587284667382534e-09,3.229081586039406,0.0008771184529341678,0.4928571428571428,1.5688204203166625,geometric_occlusion,0.2347712766526222
straight_fingers,Ni63,20.0,2.0,100.0,1,0.75,1.8888500000000001,15.05,32386875000000.004,0.21079636738916113,0.07878528970005816,0.8755053982677476,0.21541133661734085,4.513199364507081e-09,0.45131993645070806,2.0368968503787115e-09,5.2253574031445815,0.000880527881419728,0.6695,1.351,graphene_diamond_interface,0.21079636738916113
straight_fingers,Ni63,20.0,2.0,100.0,2,0.75,2.2057913098276116,23.615981346692198,49270907876935.59,0.22443896694365406,0.07909000162356403,0.8314445558725014,0.17130863356894263,3.5891797910866724e-09,0.35891797910866724,1.2882211572744969e-09,3.304740718608421,0.0008886168374772985,0.55,1.6230303050524988,geometric_occlusion,0.23989657444987536
straight_fingers,Ni63,20.0,6.0,25.0,1,0.75,2.5012541666666666,5.004166666666666,8277031250000.0,0.1924972249066903,0.07834856533570485,0.7936090165227608,0.22271727916325912,4.666270116367915e-09,0.46662701163679154,2.177407679890824e-09,5.585817140257236,0.0008665366451262056,0.7128154761904761,1.10425,carrier_travel_recombination,0.20639098347723916
straight_fingers,Ni63,20.0,6.0,25.0,2,0.75,2.6749951299667822,7.852379179783314,12858925331905.258,0.1990099801967652,0.07843170735355139,0.7711459496322985,0.21362704410201233,4.475815687432645e-09,0.4475815687432645,2.003292606786816e-09,5.139150689732786,0.0008680838835299148,0.6143333510593096,1.2429401401055542,carrier_travel_recombination,0.22885405036770146
straight_fingers,Ni63,20.0,6.0,100.0,1,0.75,2.5020166666666666,5.016666666666667,10795625000000.002,0.19162102127729944,0.07839427565746446,0.7934099139762422,0.22392213080800655,4.691513614517964e-09,0.4691513614517964,2.2010299995207413e-09,5.646416705097589,0.0008691959464949301,0.7698333333333333,1.117,carrier_travel_recombination,0.20659008602375784
straight_fingers,Ni63,20.0,6.0,100.0,2,0.75,2.6761916207160747,7.871993782230732,16423635958978.531,0.19776771356340758,0.07849634438596473,0.7708487795000597,0.21500418746485536,4.504668962509152e-09,0.45046689625091524,2.029204246179328e-09,5.205623165598269,0.0008718551471562202,0.6712800621776926,1.2610101016841664,carrier_travel_recombination,0.2291512204999403
interdigitated_combs,Ni63,20.0,2.0,25.0,1,0.75,1.91307375,20.266875,40615382812500.0,0.2228394867284386,0.07893390777534397,0.8719156513682362,0.18938728809734973,3.967955455404154e-09,0.3967955455404154,1.5744670496071588e-09,4.0390621901852,0.0008775609744568356,0.4028571428571428,2.4222125,graphene_diamond_interface,0.2228394867284386
