architecture,risk,risk_score
straight_graphene_fingers,unmanufacturable_feature_size,0.07
straight_graphene_fingers,unrealistic_alignment,0.0
straight_graphene_fingers,low_fabrication_yield,0.38
straight_graphene_fingers,excessive_defect_creation,0.15
straight_graphene_fingers,interface_roughness,0.2
straight_graphene_fingers,thermal_stress,0.22
straight_graphene_fingers,graphene_delamination,0.32
straight_graphene_fingers,diamond_cracking,0.18
straight_graphene_fingers,process_complexity,0.45
straight_graphene_fingers,high_cost,0.46275642631951835
straight_graphene_fingers,poor_scalability,0.38
straight_graphene_fingers,low_process_maturity,0.42000000000000004
interdigitated_graphene_combs,unmanufacturable_feature_size,0.0
interdigitated_graphene_combs,unrealistic_alignment,0.036
interdigitated_graphene_combs,low_fabrication_yield,0.5800000000000001
interdigitated_graphene_combs,excessive_defect_creation,0.3
interdigitated_graphene_combs,interface_roughness,0.275
interdigitated_graphene_combs,thermal_stress,0.3
interdigitated_graphene_combs,graphene_delamination,0.38
interdigitated_graphene_combs,diamond_cracking,0.28
interdigitated_graphene_combs,process_complexity,0.68
interdigitated_graphene_combs,high_cost,0.6495607655709434
interdigitated_graphene_combs,poor_scalability,0.5800000000000001
interdigitated_graphene_combs,low_process_maturity,0.5800000000000001
honeycomb_graphene_mesh,unmanufacturable_feature_size,0.0
honeycomb_graphene_mesh,unrealistic_alignment,0.06
honeycomb_graphene_mesh,low_fabrication_yield,0.7
honeycomb_graphene_mesh,excessive_defect_creation,0.4
honeycomb_graphene_mesh,interface_roughness,0.35
honeycomb_graphene_mesh,thermal_stress,0.36
honeycomb_graphene_mesh,graphene_delamination,0.45
honeycomb_graphene_mesh,diamond_cracking,0.36
honeycomb_graphene_mesh,process_complexity,0.78
honeycomb_graphene_mesh,high_cost,0.7334515826841693
honeycomb_graphene_mesh,poor_scalability,0.7
honeycomb_graphene_mesh,low_process_maturity,0.7
radial_spoke_collectors,unmanufacturable_feature_size,0.0
radial_spoke_collectors,unrealistic_alignment,0.0
radial_spoke_collectors,low_fabrication_yield,0.52
radial_spoke_collectors,excessive_defect_creation,0.26
radial_spoke_collectors,interface_roughness,0.25
radial_spoke_collectors,thermal_stress,0.28
radial_spoke_collectors,graphene_delamination,0.36
radial_spoke_collectors,diamond_cracking,0.25
radial_spoke_collectors,process_complexity,0.62
radial_spoke_collectors,high_cost,0.6248229167291296
radial_spoke_collectors,poor_scalability,0.56
radial_spoke_collectors,low_process_maturity,0.6
fractal_tree_collectors,unmanufacturable_feature_size,0.07
fractal_tree_collectors,unrealistic_alignment,0.08399999999999999
fractal_tree_collectors,low_fabrication_yield,0.78
fractal_tree_collectors,excessive_defect_creation,0.5
fractal_tree_collectors,interface_roughness,0.4
fractal_tree_collectors,thermal_stress,0.42
fractal_tree_collectors,graphene_delamination,0.5
fractal_tree_collectors,diamond_cracking,0.4
fractal_tree_collectors,process_complexity,0.86
fractal_tree_collectors,high_cost,0.8004371064686714
fractal_tree_collectors,poor_scalability,0.8200000000000001
fractal_tree_collectors,low_process_maturity,0.78
multilayer_graphene_mesh,unmanufacturable_feature_size,0.0
multilayer_graphene_mesh,unrealistic_alignment,0.08399999999999999
multilayer_graphene_mesh,low_fabrication_yield,0.85
multilayer_graphene_mesh,excessive_defect_creation,0.8
multilayer_graphene_mesh,interface_roughness,0.5
multilayer_graphene_mesh,thermal_stress,0.55
multilayer_graphene_mesh,graphene_delamination,0.58
multilayer_graphene_mesh,diamond_cracking,0.52
multilayer_graphene_mesh,process_complexity,0.92
multilayer_graphene_mesh,high_cost,0.8809389787307026
multilayer_graphene_mesh,poor_scalability,0.88
multilayer_graphene_mesh,low_process_maturity,0.85
graphene_diamond_composite,unmanufacturable_feature_size,0.0
graphene_diamond_composite,unrealistic_alignment,0.0
graphene_diamond_composite,low_fabrication_yield,0.42000000000000004
graphene_diamond_composite,excessive_defect_creation,0.4
graphene_diamond_composite,interface_roughness,0.6
graphene_diamond_composite,thermal_stress,0.34
graphene_diamond_composite,graphene_delamination,0.2
graphene_diamond_composite,diamond_cracking,0.3
graphene_diamond_composite,process_complexity,0.55
graphene_diamond_composite,high_cost,0.5372435736804817
graphene_diamond_composite,poor_scalability,0.44999999999999996
graphene_diamond_composite,low_process_maturity,0.62
laser_written_graphitic_channels,unmanufacturable_feature_size,0.0
laser_written_graphitic_channels,unrealistic_alignment,0.0
laser_written_graphitic_channels,low_fabrication_yield,0.28
laser_written_graphitic_channels,excessive_defect_creation,0.35
laser_written_graphitic_channels,interface_roughness,0.9
laser_written_graphitic_channels,thermal_stress,0.45
laser_written_graphitic_channels,graphene_delamination,0.05
laser_written_graphitic_channels,diamond_cracking,0.34
laser_written_graphitic_channels,process_complexity,0.38
laser_written_graphitic_channels,high_cost,0.36672579134208466
laser_written_graphitic_channels,poor_scalability,0.21999999999999997
laser_written_graphitic_channels,low_process_maturity,0.38
graphene_coated_nanopore_channels,unmanufacturable_feature_size,0.10500000000000001
graphene_coated_nanopore_channels,unrealistic_alignment,0.108
graphene_coated_nanopore_channels,low_fabrication_yield,0.8200000000000001
graphene_coated_nanopore_channels,excessive_defect_creation,0.7
graphene_coated_nanopore_channels,interface_roughness,0.75
graphene_coated_nanopore_channels,thermal_stress,0.5
graphene_coated_nanopore_channels,graphene_delamination,0.62
graphene_coated_nanopore_channels,diamond_cracking,0.58
graphene_coated_nanopore_channels,process_complexity,0.9
graphene_coated_nanopore_channels,high_cost,0.8562011298888889
graphene_coated_nanopore_channels,poor_scalability,0.8200000000000001
graphene_coated_nanopore_channels,low_process_maturity,0.8200000000000001
vertical_graphitic_nanoribbons,unmanufacturable_feature_size,0.14
vertical_graphitic_nanoribbons,unrealistic_alignment,0.08399999999999999
vertical_graphitic_nanoribbons,low_fabrication_yield,0.75
vertical_graphitic_nanoribbons,excessive_defect_creation,0.6
vertical_graphitic_nanoribbons,interface_roughness,0.45
vertical_graphitic_nanoribbons,thermal_stress,0.48
vertical_graphitic_nanoribbons,graphene_delamination,0.42
vertical_graphitic_nanoribbons,diamond_cracking,0.46
vertical_graphitic_nanoribbons,process_complexity,0.84
vertical_graphitic_nanoribbons,high_cost,0.829482217661603
vertical_graphitic_nanoribbons,poor_scalability,0.78
vertical_graphitic_nanoribbons,low_process_maturity,0.8
