architecture,source,ferrite,diamond_um,ferrite_um,graphene_nm,ferrite_layers,trap_density_cm3,interface_recombination_cm_s,annealing_rate_s,defect_healing_rate_s,temperature_K,electric_field_V_cm,cce,current_density_A_cm2,voltage_V,power_density_W_cm2,carrier_lifetime_s,recombination_fraction,trap_accumulation_rate_cm3_s,estimated_lifetime_years,peak_temperature_K,thermal_rise_K,interface_loss_fraction,dominant_interface_loss,dominant_interface_loss_value,vacancies_cm3,interstitials_cm3,effective_traps_cm3,ferrite_benefit_factor,radiation_tolerance_factor,defect_sink_factor
baseline,Ni63,,4.0,0.0,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.05961934142248837,1.2491170522668047e-09,0.12491170522668048,1.5602934102637114e-10,8.772589370750736e-11,0.1930796098484321,136657715018.578,0.2640905863747648,300.00000000000085,8.340944680327486e-13,0.35105075881362524,diamond_collector,0.35105075881362524,6.605122892564604e+17,4.7830200256502304e+17,1.1389142918214835e+18,0.04412812844636635,1.0,1.0
baseline,Ni63,,4.0,0.0,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.05961934142248837,1.2491170522668047e-09,0.12491170522668048,1.5602934102637114e-10,8.772589370750736e-11,0.1930796098484321,136657715018.578,0.2640905863747648,300.00000000000085,8.340944680327486e-13,0.35105075881362524,diamond_collector,0.35105075881362524,6.605122892564604e+17,4.7830200256502304e+17,1.1389142918214835e+18,0.04412812844636635,1.0,1.0
baseline,Ni63,,12.0,0.0,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.16185714267684995,3.3911564959450033e-09,0.3391156495945003,1.1499942379989992e-09,9.629323612894443e-11,0.20040735678425098,124487344851.2939,0.2640928533170407,300.0000000000068,6.8383102336951985e-12,0.35028815755759757,diamond_collector,0.3502881575575975,6.016888334479205e+17,4.3570570697952864e+17,1.0374945404274492e+18,0.11986859380416791,1.0,1.0
baseline,Ni63,,12.0,0.0,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.16185714267684995,3.3911564959450033e-09,0.3391156495945003,1.1499942379989992e-09,9.629323612894443e-11,0.20040735678425098,124487344851.2939,0.2640928533170407,300.0000000000068,6.8383102336951985e-12,0.35028815755759757,diamond_collector,0.3502881575575975,6.016888334479205e+17,4.3570570697952864e+17,1.0374945404274492e+18,0.11986859380416791,1.0,1.0
diamond_ferrite,Ni63,Fe3O4,4.0,0.1,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.05533653030352419,1.1593855612322842e-09,0.11593855612322841,1.3441748795938986e-10,1.0433135308167881e-10,0.21870521615965646,128142639580.49629,0.2367740951388858,300.00000000000585,5.83866127622924e-12,0.3976455956278224,diamond_ferrite,0.3514303624446195,5.5528309453994157e+17,4.021015512185784e+17,9.5748464575852e+17,0.0422224068390532,1.0664499768848037,1.1384655806650315
diamond_ferrite,Ni63,NiFe2O4,4.0,0.1,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.05450558297407128,1.1419759345240682e-09,0.11419759345240682,1.304109035032119e-10,1.0100087815817932e-10,0.20794063308460412,129764558711.55946,0.24153269434734354,300.0000000000071,7.089802978278363e-12,0.3780734621915305,diamond_ferrite,0.35138526425193856,5.736144328270209e+17,4.1537596859887725e+17,9.890904014258982e+17,0.04030610919517634,1.0531204850959393,1.1120911843478827
diamond_ferrite,Ni63,CoFe2O4,4.0,0.1,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.052119353223707275,1.0919807450320602e-09,0.10919807450320601,1.1924219475207732e-10,1.0774696359167755e-10,0.21647542274747145,126520720449.4331,0.23219942773677996,300.00000000000864,8.653730105839766e-12,0.39359152713870016,diamond_ferrite,0.35147754073618603,5.3766023195574445e+17,3.893401679679529e+17,9.271003999236974e+17,0.03860956919355732,1.0801212207228648,1.1648399769821802
diamond_ferrite,Ni63,Fe3O4,4.0,0.6,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.05528231940087484,1.158249759304547e-09,0.11582497593045471,1.3415425049290411e-10,1.3956305333259876e-10,0.21896379878767716,113172498131.32077,0.2003448255950283,300.00000000003087,3.0861495317211694e-11,0.398115996547023,diamond_ferrite,0.3519118580888593,4.149447678961544e+17,3.004772457179049e+17,7.155220136140593e+17,0.04773777017301157,1.2075169963996548,1.3818984596184467
diamond_ferrite,Ni63,NiFe2O4,4.0,0.6,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.039539411458596144,8.284115844140524e-10,0.08284115844140524,6.862657531914006e-11,1.2809878739237308e-10,0.2229129082305617,117645872776.51263,0.20999919778985268,300.00000000003837,3.8368345529506434e-11,0.405296189763375,diamond_ferrite,0.3517557356364067,4.521375584628842e+17,3.274099561282955e+17,7.796475145911798e+17,0.02731261265749718,1.1616022882348065,1.3091558958815999
diamond_ferrite,Ni63,CoFe2O4,4.0,0.6,0.34,1,100000000000000.0,10000.0,2e-08,1e-07,300.0,50000.0,0.03201053858430422,6.706700987276693e-10,0.06706700987276693,4.4979838132738164e-11,1.5196765156533728e-10,0.2374635778861138,108699123486.12892,0.19153950007499868,300.00000000004775,4.7751908294874856e-11,0.4317519596000563,diamond_ferrite,0.3520816466352578,3.810221717705913e+17,2.759126071442213e+17,6.570347789148127e+17,0.02212927516802765,1.2572108277949166,1.4546410233552938
